Mon Nov 29 15:34:23 2021    output.dat

         47845633 function calls (47038913 primitive calls) in 40.326 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40988    0.033    0.000    0.110    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:1325(_to_unmasked_float_array)
33350/13190    0.033    0.000    1.910    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:907(get_yaxis_transform)
     3009    0.032    0.000    0.032    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
82512/58885    0.032    0.000    0.127    0.000 {built-in method builtins.hash}
    21936    0.032    0.000    0.494    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:930(copy)
      484    0.032    0.000   13.837    0.029 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:1172(cla)
      363    0.032    0.000    0.032    0.000 {built-in method nt.listdir}
    28499    0.032    0.000    0.032    0.000 {built-in method matplotlib._path.affine_transform}
    17002    0.031    0.000    0.787    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:1240(set_fontproperties)
    32613    0.031    0.000    0.066    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:949(set_horizontalalignment)
    42930    0.031    0.000    0.066    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:781(set_family)
   114908    0.031    0.000    0.031    0.000 D:\Programs\Conda\lib\enum.py:580(__new__)
    48470    0.031    0.000    0.061    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:66(_scale_dashes)
    22044    0.030    0.000    0.113    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:726(set_transform)
    22044    0.030    0.000    0.055    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1058(set_drawstyle)
    17246    0.029    0.000    0.049    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:253(set_rotation_mode)
      400    0.029    0.000    0.029    0.000 {method 'flush' of '_io.BufferedWriter' objects}
